nome,pec,plesso,ordine,indirizzo,dirigente,email,tel,fax,municipio,proprietario,n_biblioteca,n_laboratori,n_refettori,n_aule_attivita_collettive,n_palestre_coperte,n_palestre_scoperte,n_auditorium,n_ambienti_destinati_ad_aule,n_segreteria,n_ambienti_destinati_al_dirigente_scolastico,n_archivio,n_sale_insegnati,n_sale_riunioni,n_cucine,n_servizi_igenici,n_ascensori,n_piani,n_aule_non_utilizzate,n_locali_concessi_a_enti_in_orario_scolastico,n_locali_concessi_a_enti_in_orario_extrascolastico,n_locali_concessi_a_enti_in_orario_entrambi,n_classi_funzionanti_nell_anno,ore_articolate_su_gg,n_ore_a_tempo_normale,n_ore_a_tempo_prolungato,n_ore_a_tempo_pieno,n_ore_serale,n_alunni_refezione,n_alunni_refezione_tempo_pieno,n_alunni_rientro_settimanale,n_alunni_servizio_trasporto,n_alunni_stranieri,n_classi_alunni_stranieri,n_alunni_inadempienti,iscritti_f,iscritti_m,iscritti_tot,frequentanti_f,frequentanti_m,frequentanti_tot,n_docenti,n_bidelli,n_custode,n_mediatori_culturali,matricola_aqp
MARGHERITA,istitutomargherita@pec.it,Primaria,Primaria,C.SO B.CROCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSIGNOR SANNA,brunobriscese@pec.it,Scuola Primaria Paritaria,Primaria,parallela vittorio veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARCO DELLE FIABE,istitutofanellisrl@pec.gruppoeducom.it,Primaria,Primaria,VIA GIUSEPPE FANELLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREZ.MO SANGUE,IstitutoPreziosissimoSangueBari@pec.it,primaria,Primaria,VIA SCIPIONE l?AFRICANO 272,Prof.ssa Angelamaria Garofalo,ips-scuola@libero.it,805425745,805426501,2,Adoratrici del Sangue di Cristo,1,3,0,1,2,1,2,10,1,1,1,1,2,0,11,2,4,0,0,0,0,10,6,6,0,0,0,0,0,0,0,3,2,0,83,89,172,83,89,172,16,2,1,0,20
SS.ROSARIO,santissimorosario@pec.it,Primaria,Primaria,VIA PUTIGNANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGHERITA,istitutomargherita@pec.it,MARGHERITA,Secondaria I Grado,C.SO B.CROCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREZ.MO SANGUE,IstitutoPreziosissimoSangueBari@pec.it,PREZ.MO SANGUE,Secondaria I Grado,VIA SCIPIONE l?AFRICANO 272,Prof.ssa Francesca Palamà,ips-scuola@libero.it,805425745,8085426501,2,Adoratrici del Sangue di Cristo,1,3,0,1,2,1,2,3,1,1,1,1,2,0,8,2,4,0,0,0,0,3,6,6,0,0,0,0,0,0,0,6,2,0,36,34,70,36,34,70,13,1,1,0,20
SCUOLA MEDIA INTERNAZIONALE,istitutofanellisrl@pec.gruppoeducom.it,SCUOLA MEDIA INTERNAZIONALE,Secondaria I Grado,VIA GIUSEPPE FANELLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOBEL,nobelbari@pec.it,NOBEL,Secondaria II Grado,Via dei Bersaglieri 11,Prof. Quintino Verardi,nobelbari@gmail.com,805648865,805011156,1,D'Agostino Antimo,0,0,0,1,0,0,0,6,2,1,0,1,1,0,5,1,1,0,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,107,23,65,88,23,65,88,20,1,0,0,369449
ISTITUTUI PARITARI ALESSANDRO VOLTA - I.T.E.A.F.M.,avoltacoop@pec.it,ISTITUTUI PARITARI ALESSANDRO VOLTA - I.T.E.A.F.M.,Secondaria II Grado,Via Giustino Fortunato 8/m,Damascelli Domenico,segreteria@avolta.it,805026453,805026453,2,LELLI DONATELLA,1,4,0,2,0,0,0,10,1,1,2,1,1,0,3,0,1,0,0,0,0,6,5,6,0,0,0,0,0,0,0,2,1,0,26,75,101,26,75,101,14,1,0,0,97050430
CITTA DELLA DELLA FORMAZIONE  (c/o Ist. Di Cagno Abbescia),info@pec.unicdf.it,CITTA DELLA DELLA FORMAZIONE  (c/o Ist. Di Cagno Abbescia),Secondaria II Grado,Corso Alcide De Gasperi 320,Fabio Sperduti,liceo@unicdf.it,805236636,805751238,2,Istituto Di Cagno Abbrescia,1,1,0,1,1,1,0,10,1,1,0,1,1,0,3,1,1,0,0,0,0,11,5,5,0,0,0,0,0,0,0,0,0,0,80,191,271,80,182,262,22,1,0,0,1120268473
MICHELANGELO (Istituto Comprensivo),BAIC8AE00D@PEC.ISTRUZIONE.IT,KENNEDY,Infanzia,VIALE KENNEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEONORA DUSE (Istituto Comprensivo),baic816009@pec.istruzione.it,Marconi,Infanzia,VIA DEL FARO 8/A,MARCHITELLI Gerardo,baic816009@istruzione.it,805344848,805344848,3,COMUNE BARI,1,3,1,0,1,0,0,4,0,0,0,1,0,0,3,1,1,0,0,1,1,4,5,0,0,4,0,87,87,0,23,0,0,0,36,51,87,36,51,87,14,1,0,0,/
IPSIA SANTARELLA - DE LILLA,bari130007@istruzione.it,SEDE SUCCURSALE - VIA G. ROCCA,Secondaria II Grado,Via Rocca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
